Age,BusinessTravel,Department,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,current_level,availability_projects,primary_skill,secondary_skill,primary_skill_proficiency,secondary_skill_proficiency
41,Travel_Rarely,Sales,2,Life Sciences,1,2,Female,3,2,Sales Executive,4,5993,8,Yes,3,1,80,8,0,1,6,4,1,1,Sales Strategy,CRM Tools,4,3
49,Travel_Frequently,Research & Development,1,Life Sciences,2,3,Male,2,2,Research Scientist,2,5130,1,No,4,4,80,10,3,3,10,7,1,4,Data Analysis,Python,7,6
37,Travel_Rarely,Research & Development,2,Other,4,4,Male,2,1,Laboratory Technician,3,2090,6,Yes,3,2,80,7,3,3,0,0,1,1,Laboratory Operations,Quality Control,4,3
33,Travel_Frequently,Research & Development,4,Life Sciences,5,4,Female,3,1,Research Scientist,3,2909,1,Yes,3,3,80,8,3,3,8,7,1,3,Data Analysis,Python,5,4
27,Travel_Rarely,Research & Development,1,Medical,7,1,Male,3,1,Laboratory Technician,2,3468,9,No,3,4,80,6,3,3,2,2,1,2,Laboratory Operations,Quality Control,4,3
32,Travel_Frequently,Research & Development,2,Life Sciences,8,4,Male,3,1,Laboratory Technician,4,3068,0,No,3,3,80,8,2,2,7,7,1,3,Laboratory Operations,Quality Control,5,4
59,Travel_Rarely,Research & Development,3,Medical,10,3,Female,4,1,Laboratory Technician,1,2670,4,Yes,4,1,80,12,3,2,1,0,2,2,Laboratory Operations,Quality Control,7,6
30,Travel_Rarely,Research & Development,1,Life Sciences,11,4,Male,3,1,Laboratory Technician,3,2693,1,No,4,2,80,1,2,3,1,0,0,2,Laboratory Operations,Quality Control,3,2
38,Travel_Frequently,Research & Development,3,Life Sciences,12,4,Male,2,3,Manufacturing Director,3,9526,0,No,4,2,80,10,2,3,9,7,2,3,Operations Management,Process Optimization,8,7
36,Travel_Rarely,Research & Development,3,Medical,13,3,Male,3,2,Healthcare Representative,3,5237,6,No,3,2,80,17,3,2,7,7,1,4,Medical Sales,Product Knowledge,6,5
35,Travel_Rarely,Research & Development,3,Medical,14,1,Male,4,1,Laboratory Technician,2,2426,0,No,3,3,80,6,5,3,5,4,1,2,Laboratory Operations,Quality Control,4,3
29,Travel_Rarely,Research & Development,2,Life Sciences,15,4,Female,2,2,Laboratory Technician,3,4193,0,Yes,3,4,80,10,3,3,9,5,1,3,Laboratory Operations,Quality Control,6,5
31,Travel_Rarely,Research & Development,1,Life Sciences,16,1,Male,3,1,Research Scientist,3,2911,1,No,3,4,80,5,1,2,5,2,1,3,Data Analysis,Python,4,3
34,Travel_Rarely,Research & Development,2,Medical,18,2,Male,3,1,Laboratory Technician,4,2661,0,No,3,3,80,3,2,3,2,2,0,1,Laboratory Operations,Quality Control,2,1
28,Travel_Rarely,Research & Development,3,Life Sciences,19,3,Male,2,1,Laboratory Technician,3,2028,5,Yes,3,2,80,6,4,3,4,2,1,1,Laboratory Operations,Quality Control,4,3
29,Travel_Rarely,Research & Development,4,Life Sciences,20,2,Female,4,3,Manufacturing Director,1,9980,1,No,3,3,80,10,1,3,10,9,2,2,Operations Management,Process Optimization,7,6
32,Travel_Rarely,Research & Development,2,Life Sciences,21,1,Male,4,1,Research Scientist,2,3298,0,Yes,3,4,80,7,5,2,6,2,1,2,Data Analysis,Python,4,3
22,Non-Travel,Research & Development,2,Medical,22,4,Male,4,1,Laboratory Technician,4,2935,1,Yes,3,2,80,1,2,2,1,0,0,1,Laboratory Operations,Quality Control,2,1
53,Travel_Rarely,Sales,4,Life Sciences,23,1,Female,2,4,Manager,4,15427,2,No,3,3,80,31,3,3,25,8,2,1,People Management,Project Planning,7,6
38,Travel_Rarely,Research & Development,3,Life Sciences,24,4,Male,3,1,Research Scientist,4,3944,5,Yes,3,3,80,6,3,3,3,2,1,2,Data Analysis,Python,4,3
24,Non-Travel,Research & Development,2,Other,26,1,Female,4,2,Manufacturing Director,3,4011,0,No,3,4,80,5,5,2,4,2,1,1,Operations Management,Process Optimization,4,3
