ProjectID,ProjectName,Department,ProjectPriority,StartMonth,DurationMonths
P001,Sales Growth Optimization,Sales,High,Jan,6
P002,Client Acquisition Improvement,Sales,Medium,Feb,5
P003,Medical Product Sales Expansion,Sales,High,Mar,7
P004,Strategic Sales Planning,Sales,High,Apr,6
P005,Customer Relationship Optimization,Sales,Medium,May,4
P006,Clinical Research Data Study,Research & Development,High,Jun,8
P007,Laboratory Process Optimization,Research & Development,Medium,Jul,6
P008,Research Innovation Initiative,Research & Development,High,Aug,9
P009,Quality Control Enhancement,Research & Development,Medium,Sep,5
P010,Product Research Strategy,Research & Development,High,Oct,7
P011,Workforce Engagement Program,Human Resources,Medium,Nov,5
P012,Talent Retention Initiative,Human Resources,High,Dec,6
P013,Leadership Development Program,Human Resources,Medium,Jan,6
P014,Employee Performance Optimization,Human Resources,Low,Feb,4
P015,HR Strategic Planning,Human Resources,Medium,Mar,5
